,clu
Bradi3g16620,7
Bradi5g24770,7
Bradi3g16400,7
Bradi1g04790,7
Bradi2g57730,7
Bradi2g57800,7
Bradi1g04780,7
Bradi1g04660,7
Bradi5g25040,7
Bradi3g14780,7
Bradi5g25730,7
Bradi2g59119,7
Bradi5g25720,7
Bradi2g59080,7
Bradi1g03900,7
Bradi3g17200,7
Bradi3g14946,7
Bradi2g58690,7
Bradi3g15040,7
Bradi3g15180,7
Bradi3g15473,7
Bradi3g15560,7
Bradi3g15670,7
Bradi2g58742,7
Bradi2g59340,7
Bradi1g05180,7
Bradi3g17560,7
Bradi3g21944,7
Bradi2g53210,7
Bradi2g53260,7
Bradi3g21730,7
Bradi3g21597,7
Bradi2g53590,7
Bradi5g23158,7
Bradi3g21230,7
Bradi3g20810,7
Bradi3g20677,7
Bradi3g20590,7
Bradi5g23166,7
Bradi5g23182,7
Bradi2g54400,7
Bradi2g54430,7
Bradi5g23600,7
Bradi5g24027,7
Bradi3g17750,7
Bradi2g56037,7
Bradi3g17762,7
Bradi2g55940,7
Bradi3g18240,7
Bradi3g19202,7
Bradi2g56620,7
Bradi2g55260,7
Bradi3g19560,7
Bradi2g55050,7
Bradi3g19620,7
Bradi2g54927,7
Bradi5g27570,7
Bradi5g24070,7
Bradi2g55120,7
Bradi3g22040,7
Bradi3g14722,7
Bradi1g03600,7
Bradi1g01870,7
Bradi3g01470,7
Bradi3g01477,7
Bradi3g01483,7
Bradi3g09310,7
Bradi5g26560,7
Bradi5g26610,7
Bradi1g01750,7
Bradi3g08690,7
Bradi3g08680,7
Bradi3g02210,7
Bradi3g02226,7
Bradi3g08390,7
Bradi3g08317,7
Bradi3g02786,7
Bradi3g02790,7
Bradi3g02795,7
Bradi3g05020,7
Bradi3g05010,7
Bradi3g04930,7
Bradi5g27430,7
Bradi5g27220,7
Bradi5g27110,7
Bradi3g09430,7
Bradi3g07000,7
Bradi3g07280,7
Bradi3g07350,7
Bradi1g01600,7
Bradi3g07595,7
Bradi5g26720,7
Bradi3g08120,7
Bradi1g00950,7
Bradi1g03620,7
Bradi3g01110,7
